FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
EDOGYJ7SWM6ZCTPX	Jivo Gold oil 1+1+1	GOLD 1+1+1L	FLIPKART			BLENDED	GOLD		1+1+1 LTR	COMMODITY	JIVO	LTR	3	OIL	Y	Y	9.875
QWRGG9SHSXHQYQDK	Canola oil 3L-shopsy	CANOLA 1+1+1L	FLIPKART	FG0000043	COLD PRESS 3 LTR 6 PCS	CANOLA	CANOLA	6	1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
NDFHG8Y2J3UYQGU3	Cardboard_Gift_Box_480g	GIFT BOX 480G	FLIPKART			GIFT PACK	DRY FRUITS		480 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
QWRGEMPHENBFJTME	Canola 5L_Shopsy	CANOLA 5L	FLIPKART	FG0000004	COLD PRESS 5 LTR 4 PCS	CANOLA	CANOLA	4	5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGW6R828YYA8XA	Groudnut 5+1L	GROUNDNUT 5+1L	FLIPKART			GROUNDNUT	GROUNDNUT		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOHEZD5SJDQAYZA	Jivo_Groundnut_Oil_5L	GROUNDNUT 5L	FLIPKART	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	GROUNDNUT	GROUNDNUT	4	5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
SCMH4H8HZJ8AHQ9G	Black-Cardamom100g	BLACK CARDAMOM 100G	FLIPKART	FG0000195	SPICES BLACK CARDAMOM 100 GMS	SPICES	BLACK CARDAMOM		100 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOHYRPTDVEZVZ8E	New_Pomace 1L-Local	JIVO POMACE 1L	FLIPKART	FG0000028	POMACE OLIVE 1 LTR 16 PCS	OLIVE	JIVO POMACE	16	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
NDFHG8Y5CFM292RK	Cardboard_Gift_Box_240g	GIFT BOX 240G	FLIPKART			GIFT PACK	DRY FRUITS		240 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
GHEHYGKVZRBKDK9U	Desi ghee 500g pack of 2	DESI GHEE 1KG 2PCS	FLIPKART	FG0000223	JIVO DESI GHEE 1 LTR 16 PCS	GHEE	DESI GHEE	16	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
QWRGEMQWQCHJBZHF	Pomace 1L_Shopsy	POMACE 1L	FLIPKART			OLIVE	JIVO POMACE		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
IOMH8YGZUHV8DFBW	Shopshy_Ghee_1Kg	DESI GHEE 1KG	FLIPKART			GHEE	DESI GHEE		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGDUZ8ZFFEGURG	Extra Light 1L+ Extra Virgin 1L	EXTRA LIGHT 1L+EXTRA VIRGIN 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
